indicator,indicator_family,required
Fuel prices|Liquids|Bio|Diesel,Other_inputs,False
Installed capacity|Electricity|Liquids|Bio|Diesel|Gas turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Liquids|Bio|Diesel|Gas turbines,yearly_generation_supply,False
Fuel consumption|Electricity|Liquids|Bio|Diesel|Gas turbines,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Liquids|Bio|Diesel|Gas turbines,emission_supply,False
Efficiency|Electricity|Liquids|Bio|Diesel|Gas turbines,efficiency_supply,False
Investments|Electricity|Liquids|Bio|Diesel|Gas turbines,investment_supply,False
Generation|Winter peak|Electricity|Liquids|Bio|Diesel|Gas turbines,winter_peak_hourly_generation,False
Generation|Summer peak|Electricity|Liquids|Bio|Diesel|Gas turbines,summer_peak_hourly_generation,False
Generation|Percentile 25|Electricity|Liquids|Bio|Diesel|Gas turbines,Percentile25_hourly_generation,False
Generation|Percentile 50|Electricity|Liquids|Bio|Diesel|Gas turbines,Percentile50_hourly_generation,False
Final energy consumption|Heavy industries|Steel and metallic|Others|Coal|Hard Coal|Anthracite ,fuel_eff_emi_heavy_ind,False
Efficiency|Agriculture|Coal|Hard Coal|Bituminous coal,fuel_eff_emi_agr,False
Final energy consumption|Transportation|Road|Passenger|Liquids|Bio|BS0,fuel_eff_emi_road,False
Emissions|Kyoto gases|Fossil CO2|Transportation|Rail|Liquids|Bio|Diesel,fuel_eff_emi_rail,False
Emissions|Kyoto gases|Fossil CO2|Transportation|Aviation|Liquids|Bio,fuel_eff_emi_fly,True
Fuel prices|Liquids|Bio|Gasoline,Other_inputs,False
Installed capacity|Electricity|Liquids|Bio|Gasoline|Gas turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Liquids|Bio|Gasoline|Gas turbines,yearly_generation_supply,False
Fuel consumption|Electricity|Liquids|Bio|Gasoline|Gas turbines,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Liquids|Bio|Gasoline|Gas turbines,emission_supply,False
Efficiency|Electricity|Liquids|Bio|Gasoline|Gas turbines,efficiency_supply,False
Investments|Electricity|Liquids|Bio|Gasoline|Gas turbines,investment_supply,False
Generation|Winter peak|Electricity|Liquids|Bio|Gasoline|Gas turbines,winter_peak_hourly_generation,False
Generation|Summer peak|Electricity|Liquids|Bio|Gasoline|Gas turbines,summer_peak_hourly_generation,False
Generation|Percentile 25|Electricity|Liquids|Bio|Gasoline|Gas turbines,Percentile25_hourly_generation,False
Generation|Percentile 50|Electricity|Liquids|Bio|Gasoline|Gas turbines,Percentile50_hourly_generation,False
Final energy consumption|Heating|Water heating and cooking|Residential|Coal,fuel_eff_emi_heating,False
Final energy consumption|Heavy industries|Steel and metallic|Others|Coal|Hard Coal|Coking coal,fuel_eff_emi_heavy_ind,False
Efficiency|Light Industries|Liquids|Fossil,fuel_eff_emi_light_ind,True
Efficiency|Agriculture|Coal|Coal products,fuel_eff_emi_agr,False
Final energy consumption|Transportation|Road|Passenger|Liquids|Bio|Diesel|BS0,fuel_eff_emi_road,False
Emissions|Kyoto gases|Fossil CO2|Transportation|Rail|Liquids|Bio|Gasoline,fuel_eff_emi_rail,False
Efficiency|Transportation|Navigation|Passenger|Liquids|Fossil,fuel_eff_emi_nav,False
Emissions|Kyoto gases|Fossil CO2|Transportation|Aviation|Liquids|Bio|Diesel,fuel_eff_emi_fly,False
Fuel prices|Liquids|Bio|Methanol,Other_inputs,False
Installed capacity|Electricity|Liquids|Bio|Methanol|Gas turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Liquids|Bio|Methanol|Gas turbines,yearly_generation_supply,False
Fuel consumption|Electricity|Liquids|Bio|Methanol|Gas turbines,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Liquids|Bio|Methanol|Gas turbines,emission_supply,False
Efficiency|Electricity|Liquids|Bio|Methanol|Gas turbines,efficiency_supply,False
Investments|Electricity|Liquids|Bio|Methanol|Gas turbines,investment_supply,False
Generation|Winter peak|Electricity|Liquids|Bio|Methanol|Gas turbines,winter_peak_hourly_generation,False
Generation|Summer peak|Electricity|Liquids|Bio|Methanol|Gas turbines,summer_peak_hourly_generation,False
Generation|Percentile 25|Electricity|Liquids|Bio|Methanol|Gas turbines,Percentile25_hourly_generation,False
Generation|Percentile 50|Electricity|Liquids|Bio|Methanol|Gas turbines,Percentile50_hourly_generation,False
Final energy consumption|Heating|Water heating and cooking|Residential|Coal|Brown Coal,fuel_eff_emi_heating,False
Final energy consumption|Heavy industries|Steel and metallic|Others|Coal|Hard Coal|Bituminous coal,fuel_eff_emi_heavy_ind,False
Efficiency|Light Industries|Liquids|Fossil|Diesel,fuel_eff_emi_light_ind,False
Final energy consumption|Transportation|Road|Passenger|Liquids|Bio|Gasoline|BS0,fuel_eff_emi_road,False
Emissions|Kyoto gases|Fossil CO2|Transportation|Rail|Liquids|Bio|Methanol,fuel_eff_emi_rail,False
Efficiency|Transportation|Navigation|Passenger|Liquids|Fossil|Diesel,fuel_eff_emi_nav,False
Emissions|Kyoto gases|Fossil CO2|Transportation|Aviation|Liquids|Bio|Gasoline,fuel_eff_emi_fly,False
Fuel prices|Liquids|Bio|Others,Other_inputs,False
Installed capacity|Electricity|Liquids|Bio|Others|Gas turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Liquids|Bio|Others|Gas turbines,yearly_generation_supply,False
Fuel consumption|Electricity|Liquids|Bio|Others|Gas turbines,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Liquids|Bio|Others|Gas turbines,emission_supply,False
Efficiency|Electricity|Liquids|Bio|Others|Gas turbines,efficiency_supply,False
Investments|Electricity|Liquids|Bio|Others|Gas turbines,investment_supply,False
Generation|Winter peak|Electricity|Liquids|Bio|Others|Gas turbines,winter_peak_hourly_generation,False
Generation|Summer peak|Electricity|Liquids|Bio|Others|Gas turbines,summer_peak_hourly_generation,False
Generation|Percentile 25|Electricity|Liquids|Bio|Others|Gas turbines,Percentile25_hourly_generation,False
Generation|Percentile 50|Electricity|Liquids|Bio|Others|Gas turbines,Percentile50_hourly_generation,False
Final energy consumption|Heating|Water heating and cooking|Residential|Coal|Brown Coal|Sub-bituminous coal,fuel_eff_emi_heating,False
Final energy consumption|Heavy industries|Steel and metallic|Others|Coal|Coal products| ,fuel_eff_emi_heavy_ind,False
Efficiency|Light Industries|Liquids|Fossil|Gasoline,fuel_eff_emi_light_ind,False
Efficiency|Agriculture|Liquids|Fossil,fuel_eff_emi_agr,True
Final energy consumption|Transportation|Road|Passenger|Liquids|Bio|Methanol|BS0,fuel_eff_emi_road,False
Emissions|Kyoto gases|Fossil CO2|Transportation|Rail|Liquids|Bio|Others,fuel_eff_emi_rail,False
Efficiency|Transportation|Navigation|Passenger|Liquids|Fossil|Gasoline,fuel_eff_emi_nav,False
Emissions|Kyoto gases|Fossil CO2|Transportation|Aviation|Liquids|Bio|Methanol,fuel_eff_emi_fly,False
Fuel prices|Gases|Bio|Biomethane,Other_inputs,False
Installed capacity|Electricity|Gases|Bio|Gas turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Gases|Bio|Gas turbines,yearly_generation_supply,False
Fuel consumption|Electricity|Gases|Bio|Gas turbines,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Gases|Bio|Gas turbines,emission_supply,False
Efficiency|Electricity|Gases|Bio|Gas turbines,efficiency_supply,False
Investments|Electricity|Gases|Bio|Gas turbines,investment_supply,False
Generation|Winter peak|Electricity|Gases|Bio|Gas turbines,winter_peak_hourly_generation,False
Generation|Summer peak|Electricity|Gases|Bio|Gas turbines,summer_peak_hourly_generation,False
Generation|Percentile 25|Electricity|Gases|Bio|Gas turbines,Percentile25_hourly_generation,False
Generation|Percentile 50|Electricity|Gases|Bio|Gas turbines,Percentile50_hourly_generation,False
Final energy consumption|Heating|Water heating and cooking|Residential|Coal|Brown Coal|Lignite,fuel_eff_emi_heating,False
Efficiency|Light Industries|Liquids|Fossil|Methanol,fuel_eff_emi_light_ind,False
Efficiency|Agriculture|Liquids|Fossil|Diesel,fuel_eff_emi_agr,False
Final energy consumption|Transportation|Road|Passenger|Liquids|Bio|Others|BS0,fuel_eff_emi_road,False
Efficiency|Transportation|Navigation|Passenger|Liquids|Fossil|Methanol,fuel_eff_emi_nav,False
Emissions|Kyoto gases|Fossil CO2|Transportation|Aviation|Liquids|Bio|Others,fuel_eff_emi_fly,False
Fuel prices|Solid bio and waste,Other_inputs,False
Installed capacity|Electricity|Gases|Bio|Biogas|Gas turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Gases|Bio|Biogas|Gas turbines,yearly_generation_supply,False
Fuel consumption|Electricity|Gases|Bio|Biogas|Gas turbines,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Gases|Bio|Biogas|Gas turbines,emission_supply,False
Efficiency|Electricity|Gases|Bio|Biogas|Gas turbines,efficiency_supply,False
Investments|Electricity|Gases|Bio|Biogas|Gas turbines,investment_supply,False
Generation|Winter peak|Electricity|Gases|Bio|Biogas|Gas turbines,winter_peak_hourly_generation,False
Generation|Summer peak|Electricity|Gases|Bio|Biogas|Gas turbines,summer_peak_hourly_generation,False
Generation|Percentile 25|Electricity|Gases|Bio|Biogas|Gas turbines,Percentile25_hourly_generation,False
Generation|Percentile 50|Electricity|Gases|Bio|Biogas|Gas turbines,Percentile50_hourly_generation,False
Final energy consumption|Heating|Water heating and cooking|Residential|Coal|Hard Coal,fuel_eff_emi_heating,False
Final energy consumption|Heavy industries|Steel and metallic|Others|Liquids|Fossil,fuel_eff_emi_heavy_ind,False
Efficiency|Light Industries|Liquids|Fossil|Others,fuel_eff_emi_light_ind,False
Efficiency|Agriculture|Liquids|Fossil|Gasoline,fuel_eff_emi_agr,False
Final energy consumption|Transportation|Road|Passenger|Gases|Bio|Biomethane|BS0,fuel_eff_emi_road,False
Emissions|Kyoto gases|Fossil CO2|Transportation|Rail|Liquids|P2L,fuel_eff_emi_rail,True
Efficiency|Transportation|Navigation|Passenger|Liquids|Fossil|Others,fuel_eff_emi_nav,False
Fuel prices|Solid bio and waste|Primary solid biomass,Other_inputs,False
Installed capacity|Electricity|Gases|Bio|Syngas|Gas turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Gases|Bio|Syngas|Gas turbines,yearly_generation_supply,False
Fuel consumption|Electricity|Gases|Bio|Syngas|Gas turbines,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Gases|Bio|Syngas|Gas turbines,emission_supply,False
Efficiency|Electricity|Gases|Bio|Syngas|Gas turbines,efficiency_supply,False
Investments|Electricity|Gases|Bio|Syngas|Gas turbines,investment_supply,False
Generation|Winter peak|Electricity|Gases|Bio|Syngas|Gas turbines,winter_peak_hourly_generation,False
Generation|Summer peak|Electricity|Gases|Bio|Syngas|Gas turbines,summer_peak_hourly_generation,False
Generation|Percentile 25|Electricity|Gases|Bio|Syngas|Gas turbines,Percentile25_hourly_generation,False
Generation|Percentile 50|Electricity|Gases|Bio|Syngas|Gas turbines,Percentile50_hourly_generation,False
Final energy consumption|Heating|Water heating and cooking|Residential|Coal|Hard Coal|Anthracite ,fuel_eff_emi_heating,False
Final energy consumption|Heavy industries|Steel and metallic|Others|Liquids|Fossil|Diesel,fuel_eff_emi_heavy_ind,False
Efficiency|Agriculture|Liquids|Fossil|Methanol,fuel_eff_emi_agr,False
Emissions|Kyoto gases|Fossil CO2|Transportation|Aviation|Liquids|P2L,fuel_eff_emi_fly,True
Fuel prices|Solid bio and waste|Waste,Other_inputs,False
Installed capacity|Electricity|Gases|Bio|Biomethane|Gas turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Gases|Bio|Biomethane|Gas turbines,yearly_generation_supply,False
Fuel consumption|Electricity|Gases|Bio|Biomethane|Gas turbines,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Gases|Bio|Biomethane|Gas turbines,emission_supply,False
Efficiency|Electricity|Gases|Bio|Biomethane|Gas turbines,efficiency_supply,False
Investments|Electricity|Gases|Bio|Biomethane|Gas turbines,investment_supply,False
Generation|Winter peak|Electricity|Gases|Bio|Biomethane|Gas turbines,winter_peak_hourly_generation,False
Generation|Summer peak|Electricity|Gases|Bio|Biomethane|Gas turbines,summer_peak_hourly_generation,False
Generation|Percentile 25|Electricity|Gases|Bio|Biomethane|Gas turbines,Percentile25_hourly_generation,False
Generation|Percentile 50|Electricity|Gases|Bio|Biomethane|Gas turbines,Percentile50_hourly_generation,False
Final energy consumption|Heating|Water heating and cooking|Residential|Coal|Hard Coal|Coking coal,fuel_eff_emi_heating,False
Final energy consumption|Heavy industries|Steel and metallic|Others|Liquids|Fossil|Gasoline,fuel_eff_emi_heavy_ind,False
Efficiency|Light Industries|Gases|Fossil|Natural Gas,fuel_eff_emi_light_ind,True
Efficiency|Agriculture|Liquids|Fossil|Others,fuel_eff_emi_agr,False
Final energy consumption|Transportation|Road|Passenger|Gases|Hydrogen|BS0,fuel_eff_emi_road,False
Efficiency|Transportation|Rail|Passenger|Liquids|Fossil,fuel_eff_emi_rail,False
Efficiency|Transportation|Navigation|Passenger|Liquids|Bio,fuel_eff_emi_nav,False
Final energy consumption|Heating|Water heating and cooking|Residential|Coal|Hard Coal|Bituminous coal,fuel_eff_emi_heating,False
Final energy consumption|Heavy industries|Steel and metallic|Others|Liquids|Fossil|Methanol,fuel_eff_emi_heavy_ind,False
Efficiency|Transportation|Rail|Passenger|Liquids|Fossil|Diesel,fuel_eff_emi_rail,False
Efficiency|Transportation|Navigation|Passenger|Liquids|Bio|Diesel,fuel_eff_emi_nav,False
Efficiency|Transportation|Aviation|Passenger|Liquids|Fossil,fuel_eff_emi_fly,False
Fuel prices|Gases|Hydrogen,Other_inputs,False
Installed capacity|Electricity|Gases|Hydrogen|Gas turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Gases|Hydrogen|Gas turbines,yearly_generation_supply,False
Fuel consumption|Electricity|Gases|Hydrogen|Gas turbines,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Gases|Hydrogen|Gas turbines,emission_supply,False
Efficiency|Electricity|Gases|Hydrogen|Gas turbines,efficiency_supply,False
Investments|Electricity|Gases|Hydrogen|Gas turbines,investment_supply,False
Generation|Winter peak|Electricity|Gases|Hydrogen|Gas turbines,winter_peak_hourly_generation,False
Generation|Summer peak|Electricity|Gases|Hydrogen|Gas turbines,summer_peak_hourly_generation,False
Generation|Percentile 25|Electricity|Gases|Hydrogen|Gas turbines,Percentile25_hourly_generation,False
Generation|Percentile 50|Electricity|Gases|Hydrogen|Gas turbines,Percentile50_hourly_generation,False
Final energy consumption|Heating|Water heating and cooking|Residential|Coal|Coal products,fuel_eff_emi_heating,False
Final energy consumption|Heavy industries|Steel and metallic|Others|Liquids|Fossil|Others,fuel_eff_emi_heavy_ind,False
Efficiency|Light Industries|Liquids|Bio,fuel_eff_emi_light_ind,True
Efficiency|Agriculture|Gases|Fossil|Natural Gas,fuel_eff_emi_agr,True
Final energy consumption|Transportation|Road|Passenger|Liquids|P2L|BS0,fuel_eff_emi_road,False
Efficiency|Transportation|Rail|Passenger|Liquids|Fossil|Gasoline,fuel_eff_emi_rail,False
Efficiency|Transportation|Navigation|Passenger|Liquids|Bio|Gasoline,fuel_eff_emi_nav,False
Efficiency|Transportation|Aviation|Passenger|Liquids|Fossil|Diesel,fuel_eff_emi_fly,False
Efficiency|Light Industries|Liquids|Bio|Diesel,fuel_eff_emi_light_ind,False
Efficiency|Transportation|Rail|Passenger|Liquids|Fossil|Methanol,fuel_eff_emi_rail,False
Efficiency|Transportation|Navigation|Passenger|Liquids|Bio|Methanol,fuel_eff_emi_nav,False
Efficiency|Transportation|Aviation|Passenger|Liquids|Fossil|Gasoline,fuel_eff_emi_fly,False
Fuel prices|Liquids|P2L,Other_inputs,False
Installed capacity|Electricity|Liquids|P2L|Gas turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Liquids|P2L|Gas turbines,yearly_generation_supply,False
Fuel consumption|Electricity|Liquids|P2L|Gas turbines,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Liquids|P2L|Gas turbines,emission_supply,False
Efficiency|Electricity|Liquids|P2L|Gas turbines,efficiency_supply,False
Investments|Electricity|Liquids|P2L|Gas turbines,investment_supply,False
Generation|Winter peak|Electricity|Liquids|P2L|Gas turbines,winter_peak_hourly_generation,False
Generation|Summer peak|Electricity|Liquids|P2L|Gas turbines,summer_peak_hourly_generation,False
Generation|Percentile 25|Electricity|Liquids|P2L|Gas turbines,Percentile25_hourly_generation,False
Generation|Percentile 50|Electricity|Liquids|P2L|Gas turbines,Percentile50_hourly_generation,False
Final energy consumption|Heating|Water heating and cooking|Residential|Liquids|Fossil,fuel_eff_emi_heating,False
Final energy consumption|Heavy industries|Steel and metallic|Others|Gases|Fossil|Natural Gas,fuel_eff_emi_heavy_ind,False
Efficiency|Light Industries|Liquids|Bio|Gasoline,fuel_eff_emi_light_ind,False
Efficiency|Agriculture|Liquids|Bio,fuel_eff_emi_agr,True
Final energy consumption|Transportation|Road|Passenger|Gases|P2G|BS0,fuel_eff_emi_road,False
Efficiency|Transportation|Rail|Passenger|Liquids|Fossil|Others,fuel_eff_emi_rail,False
Efficiency|Transportation|Navigation|Passenger|Liquids|Bio|Others,fuel_eff_emi_nav,False
Efficiency|Transportation|Aviation|Passenger|Liquids|Fossil|Methanol,fuel_eff_emi_fly,False
Final energy consumption|Heating|Water heating and cooking|Residential|Liquids|Fossil|Diesel,fuel_eff_emi_heating,False
Efficiency|Light Industries|Liquids|Bio|Methanol,fuel_eff_emi_light_ind,False
Efficiency|Agriculture|Liquids|Bio|Diesel,fuel_eff_emi_agr,False
Efficiency|Transportation|Aviation|Passenger|Liquids|Fossil|Others,fuel_eff_emi_fly,False
Fuel prices|Gases|P2G,Other_inputs,False
Installed capacity|Electricity|Gases|P2G|Gas turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Gases|P2G|Gas turbines,yearly_generation_supply,False
Fuel consumption|Electricity|Gases|P2G|Gas turbines,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Gases|P2G|Gas turbines,emission_supply,False
Efficiency|Electricity|Gases|P2G|Gas turbines,efficiency_supply,False
Investments|Electricity|Gases|P2G|Gas turbines,investment_supply,False
Generation|Winter peak|Electricity|Gases|P2G|Gas turbines,winter_peak_hourly_generation,False
Generation|Summer peak|Electricity|Gases|P2G|Gas turbines,summer_peak_hourly_generation,False
Generation|Percentile 25|Electricity|Gases|P2G|Gas turbines,Percentile25_hourly_generation,False
Generation|Percentile 50|Electricity|Gases|P2G|Gas turbines,Percentile50_hourly_generation,False
Final energy consumption|Heating|Water heating and cooking|Residential|Liquids|Fossil|Gasoline,fuel_eff_emi_heating,False
Final energy consumption|Heavy industries|Steel and metallic|Others|Liquids|Bio,fuel_eff_emi_heavy_ind,False
Efficiency|Light Industries|Liquids|Bio|Others,fuel_eff_emi_light_ind,False
Efficiency|Agriculture|Liquids|Bio|Gasoline,fuel_eff_emi_agr,False
Final energy consumption|Transportation|Road|Passenger|Electricity|BS0,fuel_eff_emi_road,False
Efficiency|Transportation|Rail|Passenger|Liquids|Bio,fuel_eff_emi_rail,False
Efficiency|Transportation|Navigation|Passenger|Liquids|P2L,fuel_eff_emi_nav,False
Final energy consumption|Heating|Water heating and cooking|Residential|Liquids|Fossil|Methanol,fuel_eff_emi_heating,False
Final energy consumption|Heavy industries|Steel and metallic|Others|Liquids|Bio|Diesel,fuel_eff_emi_heavy_ind,False
Efficiency|Light Industries|Gases|Bio|Biomethane,fuel_eff_emi_light_ind,True
Efficiency|Agriculture|Liquids|Bio|Methanol,fuel_eff_emi_agr,False
Final energy consumption|Transportation|Road|Passenger|Electricity|Battery|BS0,fuel_eff_emi_road,False
Efficiency|Transportation|Rail|Passenger|Liquids|Bio|Diesel,fuel_eff_emi_rail,False
Efficiency|Transportation|Aviation|Passenger|Liquids|Bio,fuel_eff_emi_fly,False
Fuel prices|District heating,Other_inputs,False
Installed capacity|Electricity|Liquids|Fossil|Gas turbines|CCS,installed_capacity_supply,False
Generation|Yearly|Electricity|Liquids|Fossil|Gas turbines|CCS,yearly_generation_supply,False
Fuel consumption|Electricity|Liquids|Fossil|Gas turbines|CCS,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Liquids|Fossil|Gas turbines|CCS,emission_supply,False
Efficiency|Electricity|Liquids|Fossil|Gas turbines|CCS,efficiency_supply,False
Investments|Electricity|Liquids|Fossil|Gas turbines|CCS,investment_supply,False
Generation|Winter peak|Electricity|Liquids|Fossil|Gas turbines|CCS,winter_peak_hourly_generation,False
Generation|Summer peak|Electricity|Liquids|Fossil|Gas turbines|CCS,summer_peak_hourly_generation,False
Generation|Percentile 25|Electricity|Liquids|Fossil|Gas turbines|CCS,Percentile25_hourly_generation,False
Generation|Percentile 50|Electricity|Liquids|Fossil|Gas turbines|CCS,Percentile50_hourly_generation,False
Final energy consumption|Heating|Water heating and cooking|Residential|Liquids|Fossil|Others,fuel_eff_emi_heating,False
Final energy consumption|Heavy industries|Steel and metallic|Others|Liquids|Bio|Gasoline,fuel_eff_emi_heavy_ind,False
Efficiency|Light Industries|Solid bio and waste,fuel_eff_emi_light_ind,True
Efficiency|Agriculture|Liquids|Bio|Others,fuel_eff_emi_agr,False
Final energy consumption|Transportation|Road|Passenger|Electricity|Hybrid|BS0,fuel_eff_emi_road,False
Efficiency|Transportation|Rail|Passenger|Liquids|Bio|Gasoline,fuel_eff_emi_rail,False
Efficiency|Transportation|Navigation|Freight|Liquids|Fossil,fuel_eff_emi_nav,False
Efficiency|Transportation|Aviation|Passenger|Liquids|Bio|Diesel,fuel_eff_emi_fly,False
Installed capacity|Electricity|Liquids|Fossil|Diesel|Gas turbines|CCS,installed_capacity_supply,False
Generation|Yearly|Electricity|Liquids|Fossil|Diesel|Gas turbines|CCS,yearly_generation_supply,False
Fuel consumption|Electricity|Liquids|Fossil|Diesel|Gas turbines|CCS,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Liquids|Fossil|Diesel|Gas turbines|CCS,emission_supply,False
Efficiency|Electricity|Liquids|Fossil|Diesel|Gas turbines|CCS,efficiency_supply,False
Investments|Electricity|Liquids|Fossil|Diesel|Gas turbines|CCS,investment_supply,False
Generation|Winter peak|Electricity|Liquids|Fossil|Diesel|Gas turbines|CCS,winter_peak_hourly_generation,False
Generation|Summer peak|Electricity|Liquids|Fossil|Diesel|Gas turbines|CCS,summer_peak_hourly_generation,False
Generation|Percentile 25|Electricity|Liquids|Fossil|Diesel|Gas turbines|CCS,Percentile25_hourly_generation,False
Generation|Percentile 50|Electricity|Liquids|Fossil|Diesel|Gas turbines|CCS,Percentile50_hourly_generation,False
Final energy consumption|Heavy industries|Steel and metallic|Others|Liquids|Bio|Methanol,fuel_eff_emi_heavy_ind,False
Efficiency|Light Industries|Solid bio and waste|Primary solid biomass,fuel_eff_emi_light_ind,False
Efficiency|Agriculture|Gases|Bio|Biomethane,fuel_eff_emi_agr,True
Efficiency|Transportation|Rail|Passenger|Liquids|Bio|Methanol,fuel_eff_emi_rail,False
Efficiency|Transportation|Navigation|Freight|Liquids|Fossil|Diesel,fuel_eff_emi_nav,False
Efficiency|Transportation|Aviation|Passenger|Liquids|Bio|Gasoline,fuel_eff_emi_fly,False
Carbon price,Other_inputs,False
Installed capacity|Electricity|Liquids|Fossil|Gasoline|Gas turbines|CCS,installed_capacity_supply,False
Generation|Yearly|Electricity|Liquids|Fossil|Gasoline|Gas turbines|CCS,yearly_generation_supply,False
Fuel consumption|Electricity|Liquids|Fossil|Gasoline|Gas turbines|CCS,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Liquids|Fossil|Gasoline|Gas turbines|CCS,emission_supply,False
Efficiency|Electricity|Liquids|Fossil|Gasoline|Gas turbines|CCS,efficiency_supply,False
Investments|Electricity|Liquids|Fossil|Gasoline|Gas turbines|CCS,investment_supply,False
Generation|Winter peak|Electricity|Liquids|Fossil|Gasoline|Gas turbines|CCS,winter_peak_hourly_generation,False
Generation|Summer peak|Electricity|Liquids|Fossil|Gasoline|Gas turbines|CCS,summer_peak_hourly_generation,False
Generation|Percentile 25|Electricity|Liquids|Fossil|Gasoline|Gas turbines|CCS,Percentile25_hourly_generation,False
Generation|Percentile 50|Electricity|Liquids|Fossil|Gasoline|Gas turbines|CCS,Percentile50_hourly_generation,False
Final energy consumption|Heating|Water heating and cooking|Residential|Gases|Fossil|Natural Gas,fuel_eff_emi_heating,False
Final energy consumption|Heavy industries|Steel and metallic|Others|Liquids|Bio|Others,fuel_eff_emi_heavy_ind,False
Efficiency|Light Industries|Solid bio and waste|Waste,fuel_eff_emi_light_ind,False
Efficiency|Agriculture|Solid bio and waste,fuel_eff_emi_agr,True
Final energy consumption|Transportation|Road|Passenger|Liquids|Fossil,fuel_eff_emi_road,True
Efficiency|Transportation|Rail|Passenger|Liquids|Bio|Others,fuel_eff_emi_rail,False
Efficiency|Transportation|Navigation|Freight|Liquids|Fossil|Gasoline,fuel_eff_emi_nav,False
Efficiency|Transportation|Aviation|Passenger|Liquids|Bio|Methanol,fuel_eff_emi_fly,False
Installed capacity|Electricity|Liquids|Fossil|Methanol|Gas turbines|CCS,installed_capacity_supply,False
Generation|Yearly|Electricity|Liquids|Fossil|Methanol|Gas turbines|CCS,yearly_generation_supply,False
Fuel consumption|Electricity|Liquids|Fossil|Methanol|Gas turbines|CCS,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Liquids|Fossil|Methanol|Gas turbines|CCS,emission_supply,False
Efficiency|Electricity|Liquids|Fossil|Methanol|Gas turbines|CCS,efficiency_supply,False
Investments|Electricity|Liquids|Fossil|Methanol|Gas turbines|CCS,investment_supply,False
Generation|Winter peak|Electricity|Liquids|Fossil|Methanol|Gas turbines|CCS,winter_peak_hourly_generation,False
Generation|Summer peak|Electricity|Liquids|Fossil|Methanol|Gas turbines|CCS,summer_peak_hourly_generation,False
Generation|Percentile 25|Electricity|Liquids|Fossil|Methanol|Gas turbines|CCS,Percentile25_hourly_generation,False
Generation|Percentile 50|Electricity|Liquids|Fossil|Methanol|Gas turbines|CCS,Percentile50_hourly_generation,False
Final energy consumption|Heavy industries|Steel and metallic|Others|Gases|Bio|Biomethane,fuel_eff_emi_heavy_ind,False
Efficiency|Agriculture|Solid bio and waste|Primary solid biomass,fuel_eff_emi_agr,False
Final energy consumption|Transportation|Road|Passenger|Liquids|Fossil|Diesel,fuel_eff_emi_road,False
Efficiency|Transportation|Navigation|Freight|Liquids|Fossil|Methanol,fuel_eff_emi_nav,False
Efficiency|Transportation|Aviation|Passenger|Liquids|Bio|Others,fuel_eff_emi_fly,False
Installed capacity|Electricity|Liquids|Fossil|Others|Gas turbines|CCS,installed_capacity_supply,False
Generation|Yearly|Electricity|Liquids|Fossil|Others|Gas turbines|CCS,yearly_generation_supply,False
Fuel consumption|Electricity|Liquids|Fossil|Others|Gas turbines|CCS,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Liquids|Fossil|Others|Gas turbines|CCS,emission_supply,False
Efficiency|Electricity|Liquids|Fossil|Others|Gas turbines|CCS,efficiency_supply,False
Investments|Electricity|Liquids|Fossil|Others|Gas turbines|CCS,investment_supply,False
Generation|Winter peak|Electricity|Liquids|Fossil|Others|Gas turbines|CCS,winter_peak_hourly_generation,False
Generation|Summer peak|Electricity|Liquids|Fossil|Others|Gas turbines|CCS,summer_peak_hourly_generation,False
